Name,Relative Time (Process),pipeline_metrics.decision_f1,pipeline_metrics.decision_roc_auc,pipeline_metrics.decision_recall,pipeline_metrics.decision_precision,pipeline_metrics.decision_accuracy
Group: dataset_examples_20_1745203325,0.910940404,0.612045195497881,0.8090940879802265,0.5962962962962963,0.717821067821068,0.6481481481481481
Group: dataset_examples_19_1745202758,1.013634338,0.6368100736798217,0.8140663887817352,0.6537698412698412,0.662166405023548,0.6666666666666666
Group: dataset_examples_18_1745201992,1.248818914,0.5846566505390035,0.7910979133627648,0.562037037037037,0.6451587301587303,0.6111111111111112
Group: dataset_examples_17_1745201430,1.014523644,0.5471945193513822,0.785699557200618,0.5599206349206348,0.5793603667287878,0.6111111111111112
Group: dataset_examples_16_1745200873,1.119788011,0.6595685795685796,0.8348466249686194,0.639021164021164,0.7411640211640211,0.6944444444444444
Group: dataset_examples_15_1745200318,1.132467747,0.6171203461141542,0.8130404264916288,0.602910052910053,0.7307671957671958,0.6481481481481481
Group: dataset_examples_14_1745199755,1.015212525,0.6302707423295658,0.8224826640827347,0.6173280423280423,0.7041737891737891,0.6759259259259259
Group: dataset_examples_13_1745199203,1.015624923,0.6526590755305925,0.8121681122193852,0.6506519274376418,0.7349644403215831,0.6574074074074074
Group: dataset_examples_12_1745198644,0.967092425,0.5761525822450192,0.7866578086380066,0.603174603174603,0.5780392226820797,0.6111111111111112
Group: dataset_examples_11_1745198096,0.983773693,0.6147571733989825,0.809864749230025,0.6461167800453514,0.6192176870748299,0.6574074074074074
Group: dataset_examples_10_1745197525,1.214484073,0.49314597588791137,0.7344774860139075,0.460978835978836,0.660648723257419,0.5
Group: dataset_examples_9_1745196905,0.917085933,0.6230436448083506,0.8124020692885615,0.5977513227513227,0.6672222222222222,0.6481481481481481
Group: dataset_examples_8_1745196360,1.034175225,0.6630635377694201,0.8367951922743295,0.6493386243386243,0.7163780663780663,0.6944444444444444
Group: dataset_examples_7_1745195819,1.22551651,0.5590063445326604,0.7731002207363593,0.5783730158730158,0.6055194805194806,0.5833333333333334
Group: dataset_examples_6_1745195286,1.163001529,0.5403239462062992,0.7463389859394102,0.47248677248677245,0.6870634920634922,0.5185185185185185
Group: dataset_examples_5_1745194735,1.127466643,0.5703317690712649,0.7769830554484021,0.5853174603174603,0.5654478458049887,0.5925925925925926
Group: dataset_examples_4_1745194200,1.038383001,0.555791104320516,0.7852575793293616,0.5564814814814815,0.5873748473748475,0.6018518518518519
Group: dataset_examples_3_1745193666,1.157902564,0.5537609449374156,0.7572254291755708,0.4948412698412698,0.7198148148148147,0.5370370370370371
Group: dataset_examples_2_1745193141,1.187497334,0.5651805568685364,0.7926177030968403,0.5715608465608466,0.6634391534391533,0.6203703703703703
Group: dataset_examples_1_1745192624,1.117193704,0.5856033508974685,0.769598809370733,0.5152116402116402,0.7367195767195767,0.5555555555555556
Group: dataset_examples_0_1745192108,1.11294005,0.49273219373219374,0.7470209189286277,0.49246031746031743,0.5756746031746032,0.5370370370370371
